holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,Rush Hour,traffic_volume
ok,288.28,0.0,0.0,40,Clouds,1,5545
hello,289.36,0.0,0.0,75,Clouds,0,4516
okok,289.58,0.0,0.0,90,Clouds,0,4767
nan,290.13,0.0,0.0,90,Clouds,0,5026
nan,291.14,0.0,0.0,75,Clouds,0,4918
nan,291.72,0.0,0.0,1,Clear,0,5181
nan,293.17,0.0,0.0,1,Clear,0,5584
nan,293.86,0.0,0.0,1,Clear,0,6015
nan,294.14,0.0,0.0,20,Clouds,1,5791
nan,293.1,0.0,0.0,20,Clouds,1,4770
nan,290.97,0.0,0.0,20,Clouds,1,3539
nan,289.38,0.0,0.0,1,Clear,0,2784
nan,288.61,0.0,0.0,1,Clear,0,2361
nan,287.16,0.0,0.0,1,Clear,0,1529
nan,285.45,0.0,0.0,1,Clear,0,963
nan,284.63,0.0,0.0,1,Clear,0,506
nan,283.47,0.0,0.0,1,Clear,0,321
nan,281.18,0.0,0.0,1,Clear,0,273
nan,281.09,0.0,0.0,1,Clear,0,367
nan,279.53,0.0,0.0,1,Clear,0,814
nan,278.62,0.0,0.0,1,Clear,0,2718
nan,278.23,0.0,0.0,1,Clear,0,5673
nan,278.12,0.0,0.0,1,Clear,1,6511
nan,282.48,0.0,0.0,1,Clear,1,5471
nan,291.97,0.0,0.0,1,Clear,0,5097
nan,293.23,0.0,0.0,1,Clear,0,4887
nan,294.31,0.0,0.0,1,Clear,0,5337
nan,295.17,0.0,0.0,1,Clear,0,5692
nan,295.13,0.0,0.0,1,Clear,0,6137
nan,293.66,0.0,0.0,20,Clouds,1,4623
nan,290.65,0.0,0.0,20,Clouds,1,3591
nan,288.19,0.0,0.0,20,Clouds,0,2898
nan,287.1,0.0,0.0,1,Clear,0,2637
nan,286.25,0.0,0.0,1,Clear,0,1777
nan,285.26,0.0,0.0,1,Clear,0,1015
nan,284.55,0.0,0.0,1,Clear,0,598
nan,283.47,0.0,0.0,1,Clear,0,369
nan,283.17,0.0,0.0,1,Clear,0,312
nan,282.04,0.0,0.0,1,Clear,0,367
nan,281.69,0.0,0.0,1,Clear,0,835
nan,281.32,0.0,0.0,1,Clear,0,2726
nan,280.74,0.0,0.0,1,Clear,0,5689
nan,280.57,0.0,0.0,1,Clear,1,6990
nan,281.86,0.0,0.0,1,Clear,1,5985
nan,284.98,0.0,0.0,1,Clear,1,5309
nan,289.18,0.0,0.0,1,Clear,0,4603
nan,291.55,0.0,0.0,1,Clear,0,4884
nan,294.97,0.0,0.0,1,Clear,0,5104
nan,296.38,0.0,0.0,1,Clear,0,5178
nan,297.32,0.0,0.0,1,Clear,0,5501
nan,298.17,0.0,0.0,1,Clear,0,5713
nan,298.06,0.0,0.0,20,Clouds,0,6292
nan,297.67,0.0,0.0,20,Clouds,1,6057
nan,296.36,0.0,0.0,40,Clouds,1,4907
nan,293.85,0.0,0.0,40,Clouds,1,3503
nan,292.43,0.0,0.0,40,Clouds,0,3037
nan,291.77,0.0,0.0,75,Clouds,0,2822
